model,comparison,baseline_stage,candidate_stage,page_key,paired_words,baseline_cer,candidate_cer,cer_delta,baseline_wer,candidate_wer,wer_delta,baseline_exact_match,candidate_exact_match,exact_match_delta,baseline_missing_output,candidate_missing_output,missing_output_delta,baseline_runtime,candidate_runtime,runtime_delta
tesseract,raw_to_run_1,raw,run_1,val_4_233,22,0.9406392694063926,0.684931506849315,-0.2557077625570776,1.0,1.9545454545454546,0.9545454545454546,0.0,0.0,0.0,0.9090909090909091,0.0,-0.9090909090909091,19.81109262497921,13.150576488988008,-6.660516135991202
tesseract,raw_to_run_1,raw,run_1,val_4_238,24,0.918552036199095,0.6470588235294118,-0.2714932126696832,1.0,1.7083333333333333,0.7083333333333333,0.0,0.0,0.0,0.8333333333333334,0.20833333333333334,-0.625,20.777164067010744,14.06028386898106,-6.716880198029685
tesseract,raw_to_run_1,raw,run_1,val_4_69,28,0.9570815450643777,0.7339055793991416,-0.22317596566523612,1.0,1.0,0.0,0.0,0.0,0.0,0.8928571428571429,0.35714285714285715,-0.5357142857142857,22.826046942951507,18.653365938997013,-4.172681003954494
tesseract,run_1_to_run_2,run_1,run_2,test_12_113,25,0.691358024691358,0.6625514403292181,-0.028806584362139898,1.32,1.44,0.11999999999999988,0.0,0.0,0.0,0.24,0.16,-0.08,16.93473994701344,14.92583382399971,-2.0089061230137304
tesseract,run_1_to_run_2,run_1,run_2,test_12_125,23,0.7090163934426229,0.639344262295082,-0.0696721311475409,1.0,1.2608695652173914,0.26086956521739135,0.0,0.0,0.0,0.4782608695652174,0.21739130434782608,-0.2608695652173913,13.81959634400846,13.94610455199927,0.12650820799080975
tesseract,run_1_to_run_2,run_1,run_2,test_12_131,25,0.7606837606837606,0.6794871794871795,-0.08119658119658113,1.2,1.56,0.3600000000000001,0.0,0.0,0.0,0.4,0.12,-0.28,14.839760191956884,15.31409201400038,0.4743318220434958
tesseract,run_1_to_run_2,run_1,run_2,test_12_165,20,0.7326732673267327,0.693069306930693,-0.03960396039603964,1.2,1.35,0.15000000000000013,0.0,0.0,0.0,0.4,0.3,-0.1,14.503300808020867,12.306462122000084,-2.196838686020783
tesseract,run_1_to_run_2,run_1,run_2,test_12_191,26,0.7591836734693878,0.6612244897959184,-0.09795918367346934,1.0,1.1923076923076923,0.1923076923076923,0.0,0.0,0.0,0.46153846153846156,0.23076923076923078,-0.23076923076923078,15.637957921047928,15.442255418002787,-0.19570250304514047
tesseract,run_1_to_run_2,run_1,run_2,test_12_195,24,0.7088607594936709,0.6497890295358649,-0.05907172995780596,1.375,1.4166666666666667,0.04166666666666674,0.0,0.0,0.0,0.3333333333333333,0.2916666666666667,-0.041666666666666664,16.780537226019078,14.364419221999015,-2.4161180040200634
tesseract,run_1_to_run_2,run_1,run_2,test_12_48,24,0.6854838709677419,0.6048387096774194,-0.08064516129032251,1.375,1.375,0.0,0.0,0.0,0.0,0.25,0.20833333333333334,-0.041666666666666664,13.570793385006255,14.050552332001644,0.4797589469953891
tesseract,run_1_to_run_2,run_1,run_2,test_12_70,25,0.75,0.6710526315789473,-0.07894736842105265,1.0,1.32,0.32000000000000006,0.0,0.0,0.0,0.44,0.24,-0.2,20.572738496077363,14.635947756002679,-5.936790740074684
tesseract,run_1_to_run_2,run_1,run_2,test_13_12,23,1.0,0.9,-0.09999999999999998,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6956521739130435,-0.30434782608695654,14.193265925947344,13.67535528999997,-0.5179106359473735
tesseract,run_1_to_run_2,run_1,run_2,test_13_13,24,0.9626168224299065,0.8551401869158879,-0.10747663551401865,1.0,1.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.6666666666666666,-0.16666666666666666,14.671836566965794,14.087856419000673,-0.5839801479651214
tesseract,run_1_to_run_2,run_1,run_2,test_13_2,26,0.8677685950413223,0.8884297520661157,0.02066115702479343,1.0,1.0,0.0,0.0,0.0,0.0,0.7307692307692307,0.6923076923076923,-0.038461538461538464,16.780968220962677,15.094240211000397,-1.6867280099622803
tesseract,run_1_to_run_2,run_1,run_2,test_13_23,23,0.8849557522123894,0.8362831858407079,-0.04867256637168149,1.0,1.0,0.0,0.0,0.0,0.0,0.782608695652174,0.6086956521739131,-0.17391304347826086,14.212005682042218,13.904445297001075,-0.3075603850411426
